"","days_difference","mean_sales"
"1",0,274.25
"2",1,485.75
"3",2,32.5
"4",3,46.75
"5",4,23.5
"6",5,78
"7",6,66
"8",7,65.5
"9",8,108.5
"10",9,114.5
"11",10,11
"12",11,66.5
"13",12,31.5
"14",13,13
"15",14,26.75
"16",15,83.5
"17",16,64
"18",17,47.5
"19",18,116
"20",19,63
"21",20,641.5
"22",21,218
"23",22,17
"24",23,20
"25",24,17.5
"26",25,10
"27",26,97
"28",27,49.5
"29",28,174.5
"30",29,106.75
"31",30,187.5
"32",31,49.5
"33",32,75
"34",33,824
"35",34,147
"36",35,110
"37",36,104
"38",37,309
"39",38,44.5
"40",39,108.75
"41",40,42
"42",41,32.5
"43",42,75
"44",43,52
"45",44,51.25
"46",45,101
"47",46,121
"48",47,47
"49",48,9.75
"50",49,178
"51",50,16.5
"52",51,75
"53",52,348.75
"54",53,55.75
"55",54,101.75
"56",55,81.5
"57",56,34
"58",57,25.5
"59",58,33
"60",59,19.5
"61",60,565.5
"62",61,3
"63",62,54.5
"64",63,157.5
"65",64,74
"66",65,12
"67",66,77.5
"68",67,212
"69",69,52
"70",70,47
"71",71,106
"72",72,47
"73",73,201.5
"74",74,6
"75",76,302.25
"76",77,78
"77",78,75.5
"78",79,39
"79",80,338
"80",81,358.5
"81",83,30
"82",84,174.25
"83",85,3
"84",86,61.5
"85",87,22.5
"86",91,31.5
"87",92,21
"88",93,30
"89",94,98
"90",95,154
"91",96,51
"92",97,7.5
"93",98,7
"94",99,138
"95",100,75
"96",101,18
"97",102,15
"98",103,9
"99",104,33.5
"100",105,22.5
"101",106,24
"102",108,22.5
"103",109,75
"104",111,34.5
"105",112,93
"106",113,11.5
"107",114,38
"108",116,392.5
"109",117,6.75
"110",118,34
"111",119,24
"112",120,10
"113",122,15
"114",123,4
"115",124,150
"116",126,7
"117",127,172.5
"118",128,6
"119",129,36
"120",130,9
"121",134,4
"122",136,4
"123",138,2
"124",141,6
"125",146,3
"126",151,30
"127",152,4.5
"128",156,30
"129",170,328.5
